event.tag.report tag_id=0x35E0170044CF0D590000F641, type=ISOC, antenna=1, rssi=618, time=2010-05-01T02:09:00.851
event.tag.report tag_id=0x35E0170044CF0D590000F574, type=ISOC, antenna=1, rssi=790, time=2010-05-01T02:09:00.855
event.tag.report tag_id=0x35E0170044CF0D590000F656, type=ISOC, antenna=1, rssi=575, time=2010-05-01T02:09:00.858
event.tag.report tag_id=0x35E0170044CF0D590000F55A, type=ISOC, antenna=1, rssi=916, time=2010-05-01T02:09:00.863
event.tag.report tag_id=0x35E0170044CF0D590000F659, type=ISOC, antenna=1, rssi=506, time=2010-05-01T02:09:00.876
event.tag.report tag_id=0x35E0170044CF0D590000F542, type=ISOC, antenna=1, rssi=576, time=2010-05-01T02:09:00.895
event.tag.report tag_id=0x35E0170044CF0D590000F5A5, type=ISOC, antenna=1, rssi=97, time=2010-05-01T02:09:00.901
event.tag.report tag_id=0x35E0170044CF0D590000F5F8, type=ISOC, antenna=1, rssi=193, time=2010-05-01T02:09:00.907
event.tag.report tag_id=0x35E0170044CF0D590000F605, type=ISOC, antenna=1, rssi=221, time=2010-05-01T02:09:00.910
event.tag.report tag_id=0x35E0170044CF0D590000F64C, type=ISOC, antenna=1, rssi=882, time=2010-05-01T02:09:00.916
event.tag.report tag_id=0x35E0170044CF0D590000F61C, type=ISOC, antenna=1, rssi=418, time=2010-05-01T02:09:00.921
event.tag.report tag_id=0x35E0170044CF0D590000F55D, type=ISOC, antenna=1, rssi=147, time=2010-05-01T02:09:00.928
event.tag.report tag_id=0x35E0170044CF0D590000F54F, type=ISOC, antenna=1, rssi=277, time=2010-05-01T02:09:00.931
event.tag.report tag_id=0x35E0170044CF0D590000F58C, type=ISOC, antenna=1, rssi=114, time=2010-05-01T02:09:00.944
event.tag.report tag_id=0x35E0170044CF0D590000F599, type=ISOC, antenna=1, rssi=71, time=2010-05-01T02:09:00.966
event.tag.report tag_id=0x35E0170044CF0D590000F57E, type=ISOC, antenna=1, rssi=288, time=2010-05-01T02:09:00.995
event.tag.report tag_id=0x35E0170044CF0D590000F629, type=ISOC, antenna=1, rssi=112, time=2010-05-01T02:09:01.017
event.tag.report tag_id=0x35E0170044CF0D590000F543, type=ISOC, antenna=1, rssi=56, time=2010-05-01T02:09:01.382
event.tag.report tag_id=0x35E0170044CF0D590000F64A, type=ISOC, antenna=1, rssi=1388, time=2010-05-01T02:09:01.528
event.tag.report tag_id=0x35E0170044CF0D590000F64D, type=ISOC, antenna=1, rssi=655, time=2010-05-01T02:09:01.531
event.tag.report tag_id=0x35E0170044CF0D590000F635, type=ISOC, antenna=1, rssi=836, time=2010-05-01T02:09:01.540
event.tag.report tag_id=0x35E0170044CF0D590000F61C, type=ISOC, antenna=1, rssi=337, time=2010-05-01T02:09:01.543
event.tag.report tag_id=0x35E0170044CF0D590000F569, type=ISOC, antenna=1, rssi=1292, time=2010-05-01T02:09:01.549
event.tag.report tag_id=0x35E0170044CF0D590000F597, type=ISOC, antenna=1, rssi=823, time=2010-05-01T02:09:01.556
event.tag.report tag_id=0x35E0170044CF0D590000F634, type=ISOC, antenna=1, rssi=1147, time=2010-05-01T02:09:01.560
event.tag.report tag_id=0x35E0170044CF0D590000F55C, type=ISOC, antenna=1, rssi=148, time=2010-05-01T02:09:01.564
event.tag.report tag_id=0x35E0170044CF0D590000F550, type=ISOC, antenna=1, rssi=553, time=2010-05-01T02:09:01.569
event.tag.report tag_id=0x35E0170044CF0D590000F656, type=ISOC, antenna=1, rssi=476, time=2010-05-01T02:09:01.575
event.tag.report tag_id=0x35E0170044CF0D590000F64B, type=ISOC, antenna=1, rssi=1783, time=2010-05-01T02:09:01.587
event.tag.report tag_id=0x35E0170044CF0D590000F627, type=ISOC, antenna=1, rssi=1725, time=2010-05-01T02:09:01.596
event.tag.report tag_id=0x35E0170044CF0D590000F63E, type=ISOC, antenna=1, rssi=509, time=2010-05-01T02:09:01.608
event.tag.report tag_id=0x35E0170044CF0D590000F626, type=ISOC, antenna=1, rssi=1545, time=2010-05-01T02:09:01.613
event.tag.report tag_id=0x35E0170044CF0D590000F641, type=ISOC, antenna=1, rssi=755, time=2010-05-01T02:09:01.618
event.tag.report tag_id=0x35E0170044CF0D590000F580, type=ISOC, antenna=1, rssi=1015, time=2010-05-01T02:09:01.622
event.tag.report tag_id=0x35E0170044CF0D590000F63F, type=ISOC, antenna=1, rssi=787, time=2010-05-01T02:09:01.626
event.tag.report tag_id=0x35E0170044CF0D590000F629, type=ISOC, antenna=1, rssi=152, time=2010-05-01T02:09:01.630
